Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Nutrella Spread,liter,bottle,350,350.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Nutrella Spread,liter,bottle,750,632.43,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Desi Ghee ,kg,packet,1000,500.0,Ghee,,3.0,0.0,room_temperature,False,,KSHEER,True,True
Dalda Ghee ,kg,packet,1000,140.0,Ghee,,0.0,0.0,room_temperature,False,,SCOTTER ,True,True
Silevada ,kg,packet,1000,48.0,Papad,,0.0,0.0,room_temperature,False,,CHETAK ,True,True
Papad ,kg,packet,200,34.0,Papad,,15.0,0.0,room_temperature,False,,VISHAL ,True,True
Jeera Papad ,kg,packet,500,43.0,Papad,,0.0,0.0,room_temperature,False,,ZAKAS ,True,True
Madrasi Papad ,kg,packet,90,20.0,Papad,,3.0,0.0,room_temperature,False,,SRI MEENAKSHI TRADERS ,True,True
Khichiya Papad ,kg,packet,1000,100.0,Papad,,0.0,0.0,room_temperature,False,,,True,True
Lijjat Papad,kg,packet,1000,340.0,Papad,,0.0,0.0,room_temperature,False,,,True,True
Coconut Powder ,kg,packet,1000,288.0,Kitchen,,4.0,0.0,room_temperature,False,,AMIRAS ,True,True
Noodles ,kg,packet,800,56.25,Kitchen,,2.0,0.0,room_temperature,False,,GOLDEN CROWN ,True,True
Vermicelli ,kg,packet,800,80.75,Kitchen,,4.0,0.0,room_temperature,False,,BAMBINO ,True,True
White Dalia ,kg,packet,1000,40.0,Kitchen,,0.0,0.0,room_temperature,False,,JAGDISH ,True,True
Poha ,kg,packet,1000,52.0,Kitchen,,4.0,0.0,room_temperature,False,,TAPARIA ,True,True
Sev Mota ,kg,packet,1000,200.0,Kitchen,,3.0,0.0,room_temperature,False,,,True,True
Sev Barik ,kg,packet,1000,210.0,Kitchen,,1.0,0.0,room_temperature,False,,,True,True
Custard Powder ,kg,packet,1000,95.0,Kitchen,,1.0,0.0,room_temperature,False,,BUTTER FLY ,True,True
Peanut ,kg,packet,1000,91.64,Kitchen,,10.0,0.0,room_temperature,False,,,True,True
Soya Bean Badi ,kg,packet,1000,61.5,Kitchen,,4.0,0.0,room_temperature,False,,RUCHI ,True,True
Moong Badi ,kg,packet,1000,125.0,Kitchen,,4.0,0.0,room_temperature,False,,MAMTA ,True,True
Magaj,kg,packet,1000,465.0,Kitchen,,6.0,0.0,room_temperature,False,,ASHOK INDUSTRIES ,True,True
